"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_seluruhnya_dijual";"n_rtup_sebagian_besar_dijual";"n_rtup_sebagian_besar_dikonsumsi_sendiri";"n_rtup_seluruhnya_dikonsumsi_sendiri";"n_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310010] PAGA";"53";"5310";"5310010";"3";"4";"3";"14";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"2";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310030] BOLA";"53";"5310";"5310030";"0";"2";"2";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310031] DORENG";"53";"5310";"5310031";"0";"1";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"5";"0";"9";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310040] TALIBURA";"53";"5310";"5310040";"12";"25";"11";"21";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310041] WAIGETE";"53";"5310";"5310041";"29";"143";"15";"51";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310050] KEWAPANTE";"53";"5310";"5310050";"57";"143";"26";"69";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"4";"4";"11";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310052] KANGAE";"53";"5310";"5310052";"161";"542";"122";"243";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310061] PALUE";"53";"5310";"5310061";"4";"0";"48";"362";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310062] KOTING";"53";"5310";"5310062";"1";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310063] NELLE";"53";"5310";"5310063";"2";"10";"13";"41";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310070] NITA";"53";"5310";"5310070";"0";"3";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310071] MAGEPANDA";"53";"5310";"5310071";"55";"82";"12";"21";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310080] ALOK";"53";"5310";"5310080";"84";"530";"18";"105";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"15";"1";"4";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"281";"254";"46";"84";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1204";"[5310] SIKKA";"53";"5310";"5310999";"691";"1765";"324";"1047";"30"
