"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310010] PAGA";"53";"5310";"5310010";"20";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310011] MEGO";"53";"5310";"5310011";"20";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310012] TANA WAWO";"53";"5310";"5310012";"20";"0";"4";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310020] LELA";"53";"5310";"5310020";"20";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310030] BOLA";"53";"5310";"5310030";"20";"1";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310031] DORENG";"53";"5310";"5310031";"20";"0";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310032] MAPITARA";"53";"5310";"5310032";"20";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310040] TALIBURA";"53";"5310";"5310040";"20";"0";"7";"14";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310041] WAIGETE";"53";"5310";"5310041";"20";"0";"6";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310042] WAIBLAMA";"53";"5310";"5310042";"20";"1";"0";"4";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310050] KEWAPANTE";"53";"5310";"5310050";"20";"1";"5";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"20";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310052] KANGAE";"53";"5310";"5310052";"20";"3";"2";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310061] PALUE";"53";"5310";"5310061";"20";"0";"1";"22";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310062] KOTING";"53";"5310";"5310062";"20";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310063] NELLE";"53";"5310";"5310063";"20";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310070] NITA";"53";"5310";"5310070";"20";"10";"21";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310071] MAGEPANDA";"53";"5310";"5310071";"20";"4";"28";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310080] ALOK";"53";"5310";"5310080";"20";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310081] ALOK BARAT";"53";"5310";"5310081";"20";"4";"4";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"20";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2419";"[5310] SIKKA";"53";"5310";"5310999";"20";"25";"83";"47";"0";"2"
