"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310010] PAGA";"53";"5310";"5310010";"8826601";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310011] MEGO";"53";"5310";"5310011";"7565502";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310012] TANA WAWO";"53";"5310";"5310012";"6304475";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310020] LELA";"53";"5310";"5310020";"5673942";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310030] BOLA";"53";"5310";"5310030";"5043436";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310031] DORENG";"53";"5310";"5310031";"5673789";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310032] MAPITARA";"53";"5310";"5310032";"2521658";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310040] TALIBURA";"53";"5310";"5310040";"12609838";"17";"0";"0";"17";"17";"0";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310041] WAIGETE";"53";"5310";"5310041";"6935896";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4413689";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5674671";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4413577";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310052] KANGAE";"53";"5310";"5310052";"5674527";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310061] PALUE";"53";"5310";"5310061";"5043956";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310062] KOTING";"53";"5310";"5310062";"4413409";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310063] NELLE";"53";"5310";"5310063";"3152405";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310070] NITA";"53";"5310";"5310070";"9463770";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5047252";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310080] ALOK";"53";"5310";"5310080";"4416293";"8";"0";"0";"8";"8";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2523574";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6939746";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310] SIKKA";"53";"5310";"5310999";"122332006";"69";"0";"0";"69";"69";"0";"69"
